Tanggal;Harga
10/02/2020;775000
11/02/2020;776000
12/02/2020;774000
13/02/2020;774000
14/02/2020;777000
15/02/2020;780000
17/02/2020;779000
18/02/2020;779000
19/02/2020;783000
20/02/2020;788000
21/02/2020;793000
22/02/2020;804000
24/02/2020;809000
24/02/2020;819000
25/02/2020;809000
26/02/2020;808000
27/02/2020;813000
28/02/2020;816000
29/02/2020;806000
02/03/2020;810000
03/03/2020;815000
04/03/2020;827000
05/03/2020;822000
06/03/2020;837000
07/03/2020;842000
09/03/2020;851000
10/03/2020;842000
11/03/2020;839000
12/03/2020;831000
13/03/2020;812000
14/03/2020;809000
16/03/2020;819000
17/03/2020;801000
18/03/2020;826000
19/03/2020;814000
20/03/2020;824000
21/03/2020;870000
22/03/2020;870000
23/03/2020;861000
23/03/2020;891000
24/03/2020;919000
26/03/2020;924000
27/03/2020;924000
30/03/2020;926000
31/03/2020;924000
01/04/2020;911000
02/04/2020;918000
03/04/2020;944000
04/04/2020;934000
06/04/2020;931000
07/04/2020;963000
08/04/2020;946000
09/04/2020;938000
11/04/2020;951000
13/04/2020;952000
14/04/2020;948000
15/04/2020;943000
16/04/2020;939000
17/04/2020;942000
18/04/2020;927000
20/04/2020;917000
21/04/2020;924000
22/04/2020;928000
23/04/2020;934000
24/04/2020;944000
25/04/2020;943000
27/04/2020;939000
28/04/2020;935000
29/04/2020;928000
30/04/2020;928000
02/05/2020;916000
04/05/2020;914000
05/05/2020;913000
06/05/2020;913000
08/05/2020;918000
09/05/2020;911000
11/05/2020;911000
12/05/2020;903000
13/05/2020;908000
14/05/2020;910000
15/05/2020;917000
16/05/2020;919000
18/05/2020;934000
19/05/2020;924000
20/05/2020;926000
22/05/2020;916000
26/05/2020;917000
27/05/2020;909000
28/05/2020;908000
29/05/2020;913000
30/05/2020;914000
02/06/2020;920000
03/06/2020;904000
04/06/2020;887000
05/06/2020;888000
06/06/2020;876000
08/06/2020;876000
09/06/2020;875000
10/06/2020;881000
11/06/2020;893000
12/06/2020;886000
13/06/2020;900000
15/06/2020;902000
16/06/2020;898000
17/06/2020;895000
18/06/2020;900000
19/06/2020;895000
20/06/2020;905000
22/06/2020;907000
23/06/2020;908000
24/06/2020;916000
25/06/2020;907000
26/06/2020;910000
27/06/2020;912000
29/06/2020;911000
30/06/2020;918000
01/07/2020;919000
02/07/2020;915000
03/07/2020;928000
04/07/2020;930000
06/07/2020;931000
07/07/2020;934000
08/07/2020;934000
09/07/2020;940000
10/07/2020;937000
11/07/2020;937000
13/07/2020;938000
14/07/2020;938000
15/07/2020;942000
16/07/2020;949000
17/07/2020;944000
18/07/2020;956000
20/07/2020;956000
21/07/2020;963000
22/07/2020;982000
23/07/2020;977000
24/07/2020;984000
25/07/2020;989000
27/07/2020;997000
28/07/2020;1022000
28/07/2020;1013000
29/07/2020;1013000
30/07/2020;1016000
01/08/2020;1028000
03/08/2020;1028000
04/08/2020;1029000
05/08/2020;1048000
06/08/2020;1054000
07/08/2020;1065000
08/08/2020;1055000
10/08/2020;1054000
11/08/2020;1056000
12/08/2020;1026000
13/08/2020;1028000
14/08/2020;1040000
15/08/2020;1035000
16/08/2020;1035000
17/08/2020;1030000
18/08/2020;1050000
19/08/2020;1058000
20/08/2020;1030000
21/08/2020;1031000
22/08/2020;1027000
23/08/2020;1027000
24/08/2020;1023000
25/08/2020;1021000
26/08/2020;1011000
27/08/2020;1019000
28/08/2020;1012000
29/08/2020;1027000
30/08/2020;1027000
31/08/2020;1030000
01/09/2020;1026000
02/09/2020;1024000
03/09/2020;1024000
04/09/2020;1021000
05/09/2020;1020000
06/09/2020;1020000
07/09/2020;1020000
08/09/2020;1015000
09/09/2020;1017000
10/09/2020;1027000
11/09/2020;1028000
12/09/2020;1031000
13/09/2020;1031000
14/09/2020;1031000
15/09/2020;1037000
16/09/2020;1030000
17/09/2020;1030000
18/09/2020;1030000
19/09/2020;1023000
21/09/2020;1024000
22/09/2020;1009000
23/09/2020;1007000
24/09/2020;1002000
25/09/2020;1009000
26/09/2020;1006000
28/09/2020;1006000
29/09/2020;1014000
30/09/2020;1016000
01/10/2020;1013000
02/10/2020;1015000
03/10/2020;1014000
04/10/2020;1014000
05/10/2020;1015000
06/10/2020;1017000
07/10/2020;999000
08/10/2020;1004000
09/10/2020;1007000
10/10/2020;1019000
11/10/2020;1019000
12/10/2020;1017000
13/10/2020;1015000
14/10/2020;1007000
15/10/2020;1009000
16/10/2020;1011000
17/10/2020;1008000
19/10/2020;1008000
20/10/2020;1008000
21/10/2020;1012000
22/10/2020;1011000
23/10/2020;1007000
24/10/2020;1008000
25/10/2020;1008000
26/10/2020;1007000
27/10/2020;1007000
28/10/2020;1007000
29/10/2020;995000
30/10/2020;992000
31/10/2020;996000
01/11/2020;996000
02/11/2020;994000
03/11/2020;1004000
04/11/2020;1004000
05/11/2020;1000000
06/11/2020;1009000
07/11/2020;1004000
08/11/2020;1004000
09/11/2020;1006000
10/11/2020;972000
11/11/2020;970000
12/11/2020;968000
13/11/2020;978000
14/11/2020;985000
15/11/2020;985000
16/11/2020;985000
17/11/2020;980000
18/11/2020;975000
19/11/2020;973000
20/11/2020;973000
21/11/2020;977000
22/11/2020;977000
23/11/2020;977000
24/11/2020;961000
25/11/2020;953000
26/11/2020;953000
27/11/2020;951000
28/11/2020;942000
29/11/2020;942000
30/11/2020;942000
01/12/2020;938000
02/12/2020;952000
03/12/2020;957000
04/12/2020;961000
05/12/2020;960000
06/12/2020;960000
07/12/2020;959000
08/12/2020;966000
10/12/2020;956000
11/12/2020;954000
12/12/2020;954000
13/12/2020;954000
14/12/2020;952000
15/12/2020;951000
16/12/2020;962000
17/12/2020;965000
18/12/2020;972000
19/12/2020;970000
20/12/2020;970000
21/12/2020;976000
22/12/2020;970000
23/12/2020;966000
24/12/2020;971000
25/12/2020;973000
26/12/2020;973000
27/12/2020;973000
28/12/2020;977000
29/12/2020;967000
30/12/2020;965000
02/01/2021;969000
04/01/2021;975000
05/01/2021;975000
06/01/2021;981000
07/01/2021;971000
08/01/2021;969000
09/01/2021;954000
10/01/2021;954000
11/01/2021;952000
12/01/2021;957000
13/01/2021;965000
14/01/2021;955000
15/01/2021;956000
16/01/2021;948000
17/01/2021;948000
18/01/2021;944000
19/01/2021;952000
20/01/2021;954000
21/01/2021;963000
22/01/2021;961000
23/01/2021;957000
25/01/2021;958000
26/01/2021;958000
27/01/2021;956000
28/01/2021;952000
29/01/2021;954000
30/01/2021;954000
01/02/2021;955000
02/02/2021;954000
03/02/2021;947000
04/02/2021;943000
05/02/2021;930000
06/02/2021;940000
08/02/2021;940000
09/02/2021;943000
10/02/2021;945000
11/02/2021;945000
13/02/2021;940000
15/02/2021;940000
16/02/2021;935000
17/02/2021;922000
18/02/2021;925000
19/02/2021;923000
20/02/2021;930000
21/02/2021;930000
22/02/2021;930000
23/02/2021;938000
24/02/2021;938000
25/02/2021;934000
26/02/2021;922000
27/02/2021;917000
28/02/2021;917000
01/03/2021;923000
02/03/2021;923000
03/03/2021;928000
04/03/2021;923000
05/03/2021;918000
06/03/2021;923000
07/03/2021;923000
